id,name,type,district,district_detail,longitude,latitude,phone_number,url,parking,toilet,nursing_room,locker,infant_stand,wheelchair_infra,braille_road ,img_url
1,베스티호텔,숙박/휴양,강서구,구랑동,128.8539747,35.12819599,051-710-9700,https://bestiehotel.southkrhotel.com/,Y,Y,N,N,N,N,N,
6,하늘과바다,숙박/휴양,강서구,대항동,128.8339249,35.01490389,051-941-3008,http://naver.me/FS6A3TSC,Y,Y,N,N,N,N,N,
8,섬마을장어구이펜션,숙박/휴양,강서구,대항동,128.8275994,35.01415788,051-973-6793,http://naver.me/FbRpfjuz,Y,Y,N,N,N,N,N,
9,대항펜션,숙박/휴양,강서구,대항동,128.8274268,35.01373969,051-971-9348,http://naver.me/Gfa3k3QS,Y,Y,N,N,N,N,N,
11,W모텔,숙박/휴양,강서구,명지동,128.9289018,35.10080432,051-271-1119,http://naver.me/FuVXruN5,Y,Y,N,N,N,N,N,
12,비엠텔모텔,숙박/휴양,강서구,명지동,128.9280046,35.0989412,051-271-1511,http://naver.me/xkxaXJGc,Y,Y,N,N,N,N,N,
14,JK호텔,숙박/휴양,강서구,명지동,128.9285144,35.10020443,051-271-2237,http://naver.me/FjoKaQKy,Y,Y,N,N,N,N,N,
15,모텔 제타,숙박/휴양,강서구,명지동,128.9294126,35.10393706,051-271-3687,http://naver.me/FdswQbIc,Y,Y,N,N,N,N,N,
16,모텔 마르,숙박/휴양,강서구,명지동,128.9294125,35.10393697,051-271-1907,http://naver.me/xGOrX7rT,N,Y,N,N,N,N,N,
19,씨사이드모텔,숙박/휴양,강서구,명지동,128.9277224,35.09830653,051-271-3125,http://naver.me/Gfa3keGi,Y,Y,N,N,N,N,N,
24,호텔오유,숙박/휴양,강서구,명지동,128.9017599,35.09218239,051-911-5566,http://hotelou.kr,Y,Y,N,N,N,N,N,
26,씨엘오션호텔,숙박/휴양,강서구,명지동,128.9020713,35.09073409,051-271-8686,cohotel.modoo.at,Y,Y,N,N,N,N,N,
27,신라스테이,숙박/휴양,강서구,명지동,128.9052621,35.09670494,051-661-9000,https://www.shillastay.com/,Y,Y,N,N,N,N,N,
